ra,dec,e1,e2,w,z_src
211.494831245,-1.52011641597,0.3281,0.1242,15.5504,0.34
222.198330822,2.69412450208,0.0598,0.0413,15.2274,0.2
222.258723772,-1.17435730989,-0.5123,0.1136,8.6287,0.86
211.336720406,0.274636539568,0.1884,0.2047,4.8101,0.66
222.407658999,-1.15574402248,0.1422,-0.09,14.5387,0.75
220.081675307,-1.66541848325,-0.0795,-0.1065,13.5473,0.55
220.461672888,-1.66061221624,-0.075,-0.5169,9.9117,0.66
218.791875875,0.441915634458,-0.121,0.1196,0.6201,0.79
214.253785534,2.7052290422,-0.0368,0.1204,13.5614,0.39
218.540128037,-2.86691433024,-0.5307,0.5185,2.7972,0.15
224.444014839,1.03544578229,-0.0377,0.18,14.6725,0.61
217.018491406,0.449259831548,0.0602,0.1312,14.3226,0.18
220.95976379,1.21117563106,0.3979,0.1784,0.6026,0.75
221.962335357,-1.12635574826,0.1637,-0.1638,13.6559,0.39
213.63492639,0.304829030445,-0.0016,-0.2418,15.563,0.23
220.057146698,-1.5856106696,0.0556,0.5867,13.7745,0.78
216.260149167,0.511481822972,0.1347,-0.4027,11.8526,0.73
215.078703726,-2.07135347805,-0.2269,0.4281,14.9592,0.27
222.225685502,2.47288924354,0.1842,-0.2825,9.4549,0.3
223.579154555,2.438099546,-0.3561,0.1551,0.5379,0.21
210.666747556,0.947296302269,-0.1418,-0.4687,1.7756,0.14
222.952705953,2.4294177537,0.2852,-0.3359,13.881,0.61
224.560343018,0.857898607435,-0.5047,-0.2605,14.6116,0.47
210.843095731,2.74721522774,-0.3803,0.1494,11.9072,0.72
211.107476924,0.057650407927,0.2797,0.4545,0.9035,0.12
217.115568578,-1.02365129938,0.1025,0.4584,14.8667,0.54
216.173982595,-1.01546923413,0.3724,0.5828,4.9564,0.33
214.94516097,-1.38574977267,-0.2304,0.0052,7.675,0.11
222.692961253,1.6652665284,-0.2604,0.3156,1.4166,0.78
221.893153846,-1.47757815484,-0.1187,-0.0984,13.4399,0.35
222.668350208,0.088645126056,-0.318,-0.3216,15.563,0.28
213.30138652,2.84707193986,0.053,-0.5404,2.4341,1.3
219.421119247,0.152013129286,0.0359,-0.2459,6.6295,0.62
211.795252674,1.04357705484,-0.1748,0.3978,6.576,0.68
213.063432897,-1.75810412661,0.1471,0.002,15.3687,0.69
214.264469681,1.6790893084,0.4588,0.2745,11.7205,0.44
212.103175447,1.98670206225,0.1588,0.1965,15.563,0.22
218.692052557,-2.69173699492,-0.6225,-0.0119,1.2285,0.69
212.371070192,2.25577015534,0.3116,0.1877,0.9153,0.62
214.286305684,0.062393112214,0.1225,0.1488,3.148,0.21
221.687770906,1.56429773143,-0.2159,0.0858,15.47,0.53
215.06410883,2.13694302689,-0.5942,-0.3938,0.5192,0.19
213.57087355,-1.5726320311,0.504,0.0055,14.8971,0.33
222.344098643,1.54820374551,0.0686,0.1029,13.4691,0.79
211.832507861,-0.203841251422,0.1418,-0.0955,15.1304,0.04
214.698855628,0.336180682409,0.3977,0.077,6.1793,0.88
224.47598888,-2.81170645739,-0.4676,0.4193,1.6096,0.14
214.515155136,-0.618348136948,0.0741,-0.1444,7.4693,0.27
210.736269217,1.4945030033,0.543,0.0004,15.2567,0.32
219.633023872,-1.77546076567,-0.0065,-0.0239,13.0132,0.21
222.550750376,0.722455466692,-0.568,0.2771,9.0867,0.76
221.555981349,-2.36096698183,-0.001,-0.2835,7.9465,0.38
216.500637346,-2.41433382982,0.5988,0.1036,1.8589,1.29
214.209331235,0.055464985597,0.0897,-0.0836,14.3078,0.7
214.180495744,-2.42628524293,0.3007,0.2508,11.5181,0.74
219.527098803,-2.11612207915,-0.2989,-0.3708,12.3346,0.15
212.309339119,2.90700420821,-0.1729,0.1555,6.8248,0.88
216.546717676,0.248652799821,0.1902,0.4533,5.6904,0.11
212.430726606,-1.79930447523,0.3821,0.0707,13.9002,0.78
223.196096703,-0.136507248478,0.4722,0.4552,0.3068,0.9
212.732931604,-2.52820538814,-0.3154,0.3367,13.2816,0.62
222.069099261,1.8227744261,0.6524,0.1088,3.7055,0.66
211.829012108,1.16652985625,-0.4176,-0.542,15.4411,0.65
222.526382445,0.512339205184,0.4989,0.2099,7.2269,0.9
212.01659628,-1.58460514618,0.2862,0.0937,14.1894,0.71
220.843810983,0.764649229629,0.0463,-0.043,15.4833,0.53
221.199174784,2.34433469627,-0.2435,0.0597,8.1589,0.47
223.542012341,-2.11079500339,-0.2445,0.121,7.3386,0.69
217.384006039,0.384709836913,-0.1156,0.3957,8.8664,1.2
223.282211589,0.350241470038,-0.0041,-0.1229,15.5629,0.03
217.366858879,-2.86204361576,0.5284,0.0148,1.9963,0.15
223.394256493,-2.54165704083,0.373,-0.4469,10.2407,1.3
218.216222764,1.98871359001,0.0981,-0.1998,13.7704,0.23
222.961815857,0.338588176246,0.3277,0.3729,3.3661,0.89
212.866004351,-2.62071318646,-0.1841,0.3168,12.8282,0.31
221.784045684,-1.21632388312,0.5964,0.0086,0.5957,1.18
222.499451374,1.81858017231,0.4147,0.5,15.563,0.13
211.537037654,1.47368237699,0.164,-0.1754,9.4105,0.78
218.059540155,-0.203884349611,0.0757,-0.0419,14.9698,0.46
213.225200044,-0.350443407003,0.0936,-0.2713,0.0802,1.32
214.270818343,0.56085548623,0.0343,0.1591,10.7372,0.83
216.358046567,-1.93182471525,-0.4608,-0.1756,5.583,0.83
217.763355885,-1.206004661,0.2668,-0.2509,0.2833,0.82
217.540047529,0.70280823594,0.2652,-0.0592,9.856,0.76
221.653065283,-1.12007801229,0.588,0.1252,15.4377,0.25
218.984513194,-0.149531882302,0.1788,0.0893,2.2158,0.12
222.921624711,2.29503286316,0.034,-0.1994,9.0735,0.91
216.047754023,-0.926379626927,-0.0492,0.2924,5.7275,1.29
219.126125436,1.74293456136,0.3176,0.1507,6.2816,0.79
213.362490288,0.837282795166,-0.166,0.0783,15.2736,0.42
212.523482766,1.64251637993,0.2049,0.2191,4.5071,0.3
221.096634298,-0.576666356814,0.0718,0.0494,10.9969,0.67
217.903684912,0.61523837819,-0.0753,-0.2568,13.2803,0.95
212.600648728,-1.322317534,-0.0873,-0.3752,7.7527,0.65
216.420257889,0.252415646992,0.216,-0.4987,1.6696,0.78
216.244284098,-2.84423940914,0.4189,-0.0229,8.4378,0.16
217.691843216,2.06320576894,-0.2288,0.131,2.2082,0.57
216.298806796,-2.06642264725,-0.1261,-0.0848,0.5262,1.06
216.288979428,1.27058078998,-0.32,0.16,15.5629,0.55
210.299554267,-2.34173227251,-0.2365,0.6122,0.672,1.3
223.068058157,-2.70756654437,-0.1882,-0.4541,14.3203,0.56
223.497229051,0.361155215391,0.5798,-0.1169,12.0556,0.7
218.151142281,2.50561146733,0.4373,0.2175,7.2813,0.66
218.561191119,0.818872321698,0.2356,0.4307,8.7154,0.76
223.78513288,-0.944522700816,-0.0764,-0.0077,1.4556,0.76
213.258187265,0.555959202587,-0.2472,0.4106,8.2765,0.5
217.955546496,-2.55432311483,-0.3327,0.4896,2.0711,0.47
210.522025725,1.88168543387,0.2567,0.5387,2.8199,0.35
217.411757747,1.40208071189,-0.4287,-0.2089,15.3207,0.61
213.978268819,0.451170578127,-0.4816,0.2475,8.4489,1.16
221.59994031,1.22497787862,0.5428,-0.3082,4.4506,0.78
215.280548738,1.92157939109,-0.1767,0.5637,13.905,0.47
224.418833146,-1.13152835655,-0.659,-0.127,3.7613,0.12
216.826760967,2.06212288272,0.2266,-0.0281,1.4585,0.47
213.301150597,1.47651560023,-0.0426,-0.4018,15.4851,0.3
222.964221886,-0.530957019881,0.0165,0.2033,14.6344,0.18
216.98511716,2.4746338641,0.0828,-0.1232,13.2197,0.29
218.881628802,-1.11762699673,0.1101,-0.1234,15.2142,0.63
213.774835101,0.11592436221,0.1441,0.029,14.6821,0.77
217.354780821,-0.455318151108,-0.0435,-0.391,12.3165,0.29
220.081585258,-2.13376396889,-0.1991,0.2967,14.6066,0.03
210.8361254,0.193766357551,0.3773,0.5215,10.0511,0.47
210.158786179,2.80679674578,0.0027,-0.1213,15.4566,0.13
217.250756056,-2.72983461724,-0.3165,0.0502,1.898,0.76
213.871556813,1.52698560642,-0.3527,-0.0999,7.1571,0.75
215.867553273,1.07580237474,0.3213,0.4162,2.5521,0.75
216.762518523,0.403486760401,0.4099,0.3571,2.4065,0.7
213.298022991,-2.50499833685,0.4675,-0.1006,14.5548,0.68
224.764190983,2.38684430166,-0.1074,-0.2619,7.5721,0.21
220.642882809,-2.84194872205,-0.5318,-0.3078,10.7545,0.85
212.725707152,0.496964078641,-0.1371,0.4892,0.6466,0.65
219.788032495,-2.03927788426,-0.033,-0.0623,7.651,0.5
222.463634513,-0.25311671482,-0.033,-0.5441,0.893,0.95
216.530610227,1.71353364931,-0.0061,0.581,10.9188,0.76
220.603461135,0.467287309497,0.1813,-0.0972,11.9039,0.56
216.751474678,0.903725036843,0.106,0.6733,15.0729,0.6
211.330073354,-1.87944876887,0.0758,0.001,1.6035,0.9
220.135131028,0.34038884754,-0.0665,0.1456,14.4621,0.39
212.439127254,-2.52172087567,-0.0518,-0.1319,8.0116,0.92
219.880610385,2.54359783941,0.4133,0.0278,3.2644,0.77
222.352726645,-0.399930006114,0.0476,-0.0958,2.4126,0.49
215.967981574,1.22841205885,0.5445,0.0434,5.4533,0.76
216.925552407,1.17768233268,0.24,-0.22,15.563,0.45
221.783518372,0.474682037033,0.5766,-0.065,7.2881,0.19
211.18205499,-1.37379901618,0.2417,-0.2036,14.8833,0.33
223.790569636,2.69221544131,-0.3122,0.1288,2.5714,1.29
216.779141554,2.60562317632,-0.0133,-0.0261,15.5021,0.7
224.141516908,1.83210448748,-0.2942,0.0849,15.3688,0.51
210.615628485,2.71917382965,-0.6638,-0.1978,15.5629,0.12
214.534768768,-0.881955137924,-0.2054,-0.4171,14.0004,0.4
221.485626765,1.48636231433,0.2061,-0.579,13.603,0.66
218.901844836,-2.4463125894,-0.2678,0.0004,4.8317,0.66
218.702165824,0.441548020033,-0.3673,-0.5126,10.6907,0.88
216.965647493,2.53504975692,0.1978,-0.1458,7.2873,0.18
211.92751599,0.417998103497,0.1682,0.0968,10.2881,0.6
224.823353148,-2.53222853015,-0.1261,0.3721,14.0036,0.68
214.13118094,-2.74894648204,0.1248,0.1025,1.1682,0.87
218.41703488,0.875165863848,-0.1573,-0.2937,2.8585,0.12
224.044274849,1.79690919699,0.0456,0.2379,14.7453,0.75
221.347297033,1.69532806281,0.074,0.0655,15.4672,0.65
224.846682236,2.61412904551,-0.2662,0.0967,10.0478,0.46
212.547490963,-2.19174647158,0.6113,0.2453,13.0243,0.22
215.4575846,1.60337150911,-0.0822,0.1499,15.563,0.3
220.900190751,0.460821825236,0.6261,-0.1925,4.414,0.33
216.220362149,2.41327772101,0.0407,0.4633,5.4934,1.0
220.417579877,-2.51748213291,-0.0853,0.468,12.8382,0.46
212.32228195,0.839190762461,0.1804,-0.5719,11.3946,0.57
224.145102295,-2.85279351433,-0.0596,-0.1542,6.5064,0.6
222.331500299,-1.1038982515,-0.0794,-0.0232,10.0358,0.76
212.065511234,1.64685480891,0.1288,-0.0129,6.4004,0.57
211.841422017,0.743521739642,0.2034,0.5737,11.453,0.19
217.201639784,0.042586528557,-0.3187,-0.4443,0.2755,0.9
218.163788769,-2.54434789531,-0.2176,-0.0763,14.4609,0.39
210.159280164,-2.29187954849,-0.0936,0.668,3.0895,0.55
211.217835903,1.67338846363,-0.0352,0.4973,12.9525,0.19
213.150406011,1.37165937576,-0.5601,-0.3073,9.9358,0.88
220.794585164,-0.105687049129,0.4154,-0.5094,10.8258,0.47
214.789179271,2.88718868373,0.0622,0.7378,14.3978,0.35
218.16850845,2.65713061418,-0.0545,-0.0544,5.6646,0.46
223.580516976,2.22459537219,-0.3068,0.176,0.4357,0.62
223.980128111,-2.26820550859,0.1994,-0.4491,14.7724,0.51
214.193662746,-1.29798531233,0.2367,0.4417,1.1937,0.57
213.733932371,2.64853563444,-0.5832,-0.0662,5.7647,0.64
224.049516022,-1.68490414683,0.1192,0.0188,7.4454,0.63
213.838373498,0.903796942643,-0.3167,0.5322,15.4079,0.58
210.294808081,-2.73933201894,0.0898,0.6495,12.9686,0.39
213.690877926,0.682784114204,-0.2277,-0.102,0.6204,1.09
212.676511224,-1.06965765514,0.258,0.466,8.1759,0.18
217.934721576,-2.55517664836,0.0248,-0.0088,13.2929,0.3
222.248812139,-2.76157737229,0.5193,-0.1334,2.3777,0.68
224.155187821,-0.319776876247,-0.106,0.4124,11.3505,0.62
210.620403349,-0.246591106597,-0.4337,0.0029,0.5921,0.33
216.311986486,-2.97388487724,0.2851,0.2018,13.0392,0.19
221.252976226,-2.62508426081,0.3336,-0.1043,9.502,1.36
216.628498526,0.595210195942,0.2314,-0.4066,12.1354,0.33
223.755775066,0.307208060122,0.5643,0.2482,1.0648,0.17
219.051177069,-1.12946307969,0.292,-0.1655,1.6489,0.61
219.60189978,-2.61088480371,0.2728,-0.1657,1.1815,0.79
221.363964621,-1.09800083765,0.0844,0.4363,5.1396,0.29
224.099959314,1.77416838405,-0.1093,-0.0853,15.2165,0.61
221.170311722,-0.617014604882,0.2558,-0.0296,13.1164,0.19
220.623394821,2.17358890657,0.2336,-0.1427,13.729,0.49
217.52905203,-1.28509121842,0.4362,0.2283,10.7799,0.76
222.374670402,-1.98674138516,-0.4448,0.0013,3.2644,0.36
211.54122962,2.09713684331,0.4064,0.2489,1.6536,0.67
213.248477697,1.77612379409,-0.4133,0.2741,2.2548,0.1
210.813999239,-2.54421269192,0.4384,0.02,12.7899,0.87
220.049871762,-2.11173885796,-0.5355,-0.0197,0.529,0.78
218.708695218,-0.096165254121,0.3622,0.2283,1.2191,0.76
213.930854572,-0.340190156613,0.5164,0.416,3.7379,1.06
223.113725909,-2.12430459423,0.3506,0.0325,0.4997,0.21
222.90609415,0.350830835462,0.2702,-0.6119,15.0095,0.65
211.333445307,-2.84219604745,0.1392,0.2141,2.3603,0.95
218.855905674,1.2773095787,0.203,0.1665,12.6331,0.78
213.124746303,0.44762621021,-0.5463,-0.1545,3.4035,0.33
223.167960222,-2.66491262063,-0.1846,-0.2218,12.9328,0.72
211.423059316,-0.068992467103,-0.0353,0.6283,12.9999,0.62
219.488751724,-1.95716213956,-0.0208,0.2195,6.0582,0.88
220.921106753,-0.634461101748,0.1211,0.5538,13.694,0.39
216.904430988,-0.854595082181,-0.6187,-0.01,13.0366,0.47
212.232909241,1.74043726834,-0.3183,-0.4129,10.3222,0.59
220.829911481,-1.5383954692,-0.3366,-0.6491,2.5055,0.1
210.913568113,-1.75265203506,0.3169,-0.2784,11.7771,0.23
219.314617323,1.61766960232,0.5156,0.0849,10.9364,0.95
211.275524771,-1.68332817051,-0.5284,0.1896,0.199,0.78
220.234934103,1.68910539473,0.423,-0.2222,2.8647,0.5
217.599937533,0.918581816608,-0.1952,-0.0776,15.3791,0.83
214.351567878,1.22053956934,-0.4656,0.0273,15.4816,0.6
216.72627827,0.444205727785,0.464,0.2607,12.1538,0.3
222.769888738,-1.51876810553,0.0591,0.0103,14.8422,0.47
224.44870456,-2.86423021798,0.4519,-0.3472,1.1468,0.63
221.470298122,2.66874449554,0.4766,0.0059,14.8914,0.3
217.42550755,-0.35363431871,0.1882,-0.2411,9.2565,0.3
217.890942391,0.145498594874,0.0643,-0.0478,15.2765,0.6
210.952642594,-1.19543936927,-0.1209,0.0651,13.6419,0.55
221.027417925,2.20072521055,-0.4584,0.206,6.5208,0.13
210.637756474,-1.42367537202,-0.0955,0.6565,1.3658,0.73
221.086362075,1.44697037669,0.2577,0.6254,6.5154,0.22
222.204980065,1.32280215751,-0.4246,-0.3869,14.9774,0.88
218.039386845,0.904797402492,0.2201,0.2636,15.4612,0.36
219.674199802,-0.525204749046,0.1233,-0.3033,15.3482,0.08
217.356605827,-0.591229202878,0.3805,0.4307,2.7485,1.2
216.988597492,-2.3528158519,0.2826,-0.2209,11.0787,0.12
216.576442652,-0.634406457531,-0.5524,-0.2559,11.1291,0.33
212.184369424,-1.75479038777,-0.2658,0.2128,0.8249,0.79
211.201923135,0.473806769602,-0.0926,-0.3954,15.4497,0.06
219.36603015,-1.89455138053,-0.0759,-0.1836,5.5129,0.65
211.069144778,0.888286890323,-0.2934,0.0052,14.4077,0.14
224.676063926,1.95306539514,-0.1172,0.0782,13.1413,0.39
221.034784953,-2.48041862076,0.1805,0.5037,0.5071,0.66
223.170135181,0.772458459789,-0.1513,-0.1747,15.2932,0.64
220.178794017,-2.1413987888,-0.0188,-0.0189,15.4717,0.23
215.841361488,-0.146730844982,0.0798,0.2092,8.4772,0.12
221.67132955,2.12847758506,0.3057,0.365,15.3284,0.48
214.023717213,0.858180996775,-0.1278,-0.0279,14.1291,0.35
219.897833726,-2.26387260529,-0.1113,-0.256,8.3557,0.79
214.74273598,1.41768692503,-0.3342,0.2617,0.7141,0.62
212.08171628,2.13600750751,-0.4827,-0.1827,15.1298,0.16
210.966758171,1.67152989606,0.3217,-0.3265,1.1406,0.65
214.996707577,-2.9441182137,0.3347,-0.6156,15.539,0.13
219.930268263,-2.8238151656,-0.6699,-0.0448,4.4341,0.29
219.522863928,0.22344432618,-0.4164,-0.1945,14.8432,0.3
222.539733265,1.79345347392,0.4045,0.0188,1.3567,0.1
218.071990413,-1.68019928367,0.1734,0.0661,7.5206,0.63
216.895657131,0.817547751812,0.0846,-0.0334,12.8366,0.86
213.300343916,1.6546651288,0.2005,-0.6912,0.6129,1.3
215.13514449,-1.80633376075,-0.2364,-0.3751,2.2579,1.06
213.537710866,-2.88013969433,0.0915,0.6859,10.7818,0.3
222.269172373,1.71035569879,0.2431,0.3954,2.8532,0.7
223.441395232,0.281791832027,0.1527,0.2442,14.3497,0.76
217.410214101,0.308492826469,0.2027,-0.2521,14.154,0.36
215.086563342,1.46680126937,-0.1894,0.2755,1.3307,0.33
217.751227614,-2.72163408021,-0.1862,0.0674,12.3267,0.22
216.267533189,1.95266735038,-0.5933,-0.2219,10.5755,1.06
212.167454629,-1.55875422495,0.2707,0.047,0.1927,0.63
216.223783067,2.43018761496,0.058,0.0489,1.1599,0.25
218.484661975,-0.372358302583,-0.2786,0.0644,8.5887,0.57
218.231409405,2.77293828179,0.1192,0.2465,11.8499,0.78
219.039617427,2.43281278688,-0.1277,0.1988,15.3809,0.49
211.568466201,1.50807231482,0.4792,-0.5668,15.5379,0.12
210.575449998,0.702847576519,-0.3342,0.3185,15.1617,0.47
210.504474808,-2.55128535746,0.1682,0.2386,12.999,0.87
214.289073075,-1.06464546466,0.6958,0.3453,3.4751,0.9
221.60468019,-2.3208346705,0.3832,0.1415,9.7463,0.91
211.88466464,2.85382664809,-0.6727,-0.0058,3.9647,0.12
218.448148287,1.80160123826,-0.3001,0.2022,14.2858,0.12
