r_mid,Rcurl_mean,Rcurl_median,Rcurl_std,Rcurl_count,tau_frac_mean,tau_frac_median,tau_frac_std,tau_frac_count,radiality_err_mean,radiality_err_median,radiality_err_std,radiality_err_count,Jr_mean,Jr_median,flux_mean,flux_median,flux_count
12.208333333333332,3.027951668710035e-15,6.489129072310451e-16,4.374985175707593e-15,6338.0,0.4594071738701479,0.48530633115292,0.3848278283895084,6338.0,0.25457734746018196,0.1256558086526266,0.29188638230338954,6338.0,0.00042566101909034495,0.000238302918078098,0.7972352662455545,0.4463257893501442,6338.0
12.625,2.7151028468623166e-15,3.225083719799499e-16,4.087781285424013e-15,6666.0,0.4931172521063542,0.5503761826412779,0.36390033283914314,6666.0,0.2559617828331126,0.16508320319853742,0.26611849772189605,6666.0,0.0004987630583997377,0.00023172758221355304,0.9990032864935123,0.46414146417596197,6666.0
13.041666666666668,3.374143320513812e-15,5.195307442369111e-16,4.8088451293742015e-15,7454.0,0.47354266240554027,0.4781332217386474,0.3767698481397783,7454.0,0.2548657605269699,0.1217126766998049,0.2803155250419605,7454.0,0.0003997696939455696,0.00020537420266379425,0.8544485623328281,0.4389569666334499,7454.0
13.458333333333332,2.7170745599863477e-15,4.583359114485341e-16,3.725772314075319e-15,7482.0,0.4679331232126983,0.5155749100413917,0.37673797416808935,7482.0,0.24933327337615485,0.14315549127288518,0.27496646442789174,7482.0,0.00035949422805861303,0.00018612276817245467,0.8182468594951958,0.423635092446694,7482.0
13.875,2.4987799857875936e-15,2.465137689147363e-16,3.635477370809833e-15,7694.0,0.478874377306137,0.507237448976753,0.36618820809082125,7694.0,0.24831940199907784,0.13819365843853537,0.26751038410474637,7694.0,0.0003855907774343912,0.00018366126809416224,0.9328299589055975,0.44431750756273836,7694.0
14.291666666666668,2.728377626339037e-15,5.649430599986325e-16,3.648710837651195e-15,8388.0,0.48273702718412653,0.4893196078332282,0.3807351907815575,8388.0,0.2655146983914532,0.12789546418451891,0.2872925665710218,8388.0,0.00030791913360864555,0.0001657829690884118,0.7903369684858723,0.4255156465283184,8388.0
14.708333333333334,2.8267275951594857e-15,3.2705952774314884e-16,3.939909080641072e-15,9554.0,0.48071146308186413,0.5378008498699941,0.36342257570690156,9554.0,0.24580558192975693,0.15692808973426708,0.26082810523396893,9554.0,0.0003261902457882359,0.00015636455224671337,0.8867634030562747,0.42508433117795863,9554.0
15.125,3.3126659808776466e-15,7.259972680630962e-16,4.528985882937923e-15,9390.0,0.4644700775602674,0.46461310438134973,0.38294908663349697,9390.0,0.2545985388564929,0.11448621510609724,0.28634630401465677,9390.0,0.0002473406839726585,0.00013427923953861134,0.7110435284974077,0.3860197309717038,9390.0
15.541666666666668,3.2540298411207554e-15,4.254256887314923e-16,4.536002741160904e-15,10442.0,0.4901814790836662,0.5676553003220137,0.37011289179099743,10442.0,0.25940178237005085,0.1767336639845375,0.27249375210598353,10442.0,0.00028648253158328847,0.00013830461611042405,0.869567280421383,0.4197993093547499,10442.0
15.958333333333334,3.029949254436516e-15,5.489721514475569e-16,4.260168334668775e-15,10350.0,0.46878662159695766,0.49956220244069244,0.37505387640390087,10350.0,0.24727494184818485,0.13372198117890322,0.27014566447837884,10350.0,0.0002558429399602166,0.00013077516277781862,0.8187632958910864,0.41851419981849025,10350.0
16.375,2.877143880175062e-15,6.458041295132646e-16,3.75891128239605e-15,11330.0,0.48019280790465346,0.5439918357648637,0.3773528179959967,11330.0,0.26021996222305993,0.16090949080497063,0.28239195047641485,11330.0,0.00021459820189934293,0.00011558975077604097,0.7231003305746052,0.3894859614732279,11330.0
16.791666666666668,2.564592564821385e-15,7.831092194360936e-16,3.3344129238653793e-15,11580.0,0.4769022135168684,0.5285292407388182,0.3615510523751135,11580.0,0.24206591232657812,0.15108490313574452,0.2595785700165112,11580.0,0.00022572358553162245,0.00010917452374550287,0.799787133409949,0.38682878079472854,11580.0
17.208333333333336,2.5282999154692974e-15,2.47983165014641e-16,3.638920741979381e-15,12614.0,0.4862416793652438,0.5230374749055288,0.3818556876235945,12614.0,0.2685494116809291,0.14769031458955695,0.2876374452766266,12614.0,0.0002018612416368245,0.00010384070995203361,0.7511737866505911,0.3864160285087895,12614.0
17.625,2.8698452678219025e-15,3.590730414307059e-16,3.9522026794593874e-15,13050.0,0.46866871272834254,0.5059811777936181,0.3706622409734684,13050.0,0.24393212702620282,0.13745548073239544,0.2670590052459622,13050.0,0.00019787947845605736,9.693578005753665e-05,0.7724473229432973,0.3784009559106069,13050.0
18.041666666666668,3.0728928772563627e-15,7.550827956808894e-16,4.1826918755384265e-15,13886.0,0.4773360921561929,0.5072367946831967,0.3724813684746344,13886.0,0.25359998324921945,0.13819327333820575,0.27621531503295155,13886.0,0.00017404228093968372,8.835514363351737e-05,0.7118982734943361,0.36140571054020915,13886.0
18.458333333333336,2.742196703704203e-15,4.516779012032512e-16,3.697639420838973e-15,13698.0,0.49485703100313694,0.537715801275969,0.373615688276386,13698.0,0.26729571594002793,0.15687384273873783,0.28048577229636185,13698.0,0.00016999053393588313,8.492905157831479e-05,0.7278126019466659,0.3636228005107051,13698.0
18.875,2.812366055199969e-15,6.000044128257817e-16,3.944130962759232e-15,15038.0,0.4635416383607411,0.4839867359871263,0.36799426703976923,15038.0,0.23784744204839725,0.12492466644949496,0.2623601481542724,15038.0,0.00015853618976830798,8.02462223102561e-05,0.709761112481602,0.35925959935463886,15038.0
