R_Mpc,gt,W,z_mean
0.15000000000000002,0.032037951386825976,0.0011222876395736343,0.13608807907954965
0.25,-0.012951910360285864,0.001997986775720143,0.1324422942987707
0.4,0.021171518362654553,0.007635385699265982,0.1329753503424168
0.65,-0.011831870869456954,0.018776164241587425,0.13179680168976513
1.0,-0.004119962890558573,0.05276001852115841,0.13059747191557322
1.5,0.0029890118434832543,0.11453797809498002,0.13066268794217115
2.25,-0.0012893585469365863,0.2114819534099401,0.130256514543206
3.35,0.0006564958690241929,0.44160401018899,0.13128388369370877
