R_Mpc,gt,W,z_mean
0.15000000000000002,0.23014777341040216,0.00012428311855661438,0.13460225833593384
0.25,-0.04556293756667006,0.0002396767836621252,0.13491907029149053
0.4,0.08470759380530074,0.0007585115271187136,0.1349925469906108
0.65,0.004079547534777698,0.0014915412606650476,0.13311463837034956
1.0,0.024960639373781915,0.004631045730201949,0.13101714587025182
1.5,-0.016912722624533277,0.008891676552276562,0.13109821858145618
2.25,-0.011189735472549655,0.01914602916318506,0.13097309676506874
3.35,-0.01597669337211314,0.04661871725213211,0.13140904010019214
