R_Mpc,gt,W,z_mean
0.15000000000000002,0.022595853883184035,6.570831984344177e-05,0.2528
0.25,-0.061398377001071675,8.799191988356777e-05,0.2528
0.4,-0.035389694569202566,0.00037560093038330574,0.2528
0.65,0.03039041667879134,0.0007417726992891744,0.2528
1.0,0.02059547486848135,0.0013349151090036992,0.2528
1.5,0.022935383353205652,0.0023190147058498103,0.2528
2.25,0.020421886578854624,0.004310124721940747,0.2528
3.35,0.010175851380045849,0.005647078480223486,0.2528
