R_Mpc,gt,W,z_mean
0.15000000000000002,0.06556401641743605,0.0006113149618535635,0.13808685477031424
0.25,0.0037783271670310623,0.0012584125864095993,0.13190831760305322
0.4,0.01690719810853812,0.004809781685723523,0.1326661467407943
0.65,-0.011529520935343334,0.012992898478996113,0.1312681751560785
1.0,-0.010667343515740342,0.03643894606257783,0.13020804249224183
1.5,0.003437974351690697,0.08154900092329169,0.13049975335272887
2.25,-0.0011153892620532175,0.14039519133196188,0.1301610254301353
3.35,0.002376664065850494,0.28364494497906867,0.13150685262682138
